parameter,metabolite,count,mean,std,min,25%,50%,75%,max
T2,met_1,2000.0,0.1608357459166665,0.029819538733191462,0.06719947695871253,0.14121019470548665,0.1613354585095723,0.1809646650557624,0.24
T2,met_10,2000.0,0.09588441661513468,0.028994972909855175,0.03,0.07624024921318348,0.09541760058765877,0.11549372009520474,0.171
T2,met_2,2000.0,0.1305524056176216,0.037385498463666525,0.05,0.1045990024218085,0.13183272740576624,0.15810642662147417,0.195
T2,met_3,2000.0,0.10138201123235609,0.043076619074082036,0.04,0.06578375265961471,0.0991593559590927,0.1342877418013681,0.18000000000000002
T2,met_4,2000.0,0.08049237388955217,0.026927495602350804,0.04,0.05917317357692432,0.07960356560904841,0.09914569201768397,0.14400000000000002
T2,met_5,2000.0,0.08666166702049602,0.028163773916154718,0.04,0.06569193509769454,0.08598385105307485,0.10496820230561571,0.1548
T2,met_6,2000.0,0.08637185865425602,0.028160560497802686,0.04,0.06510649207939812,0.08540425757675259,0.10612960721146988,0.1548
T2,met_7,2000.0,0.14892830475322688,0.04657308738457464,0.04,0.1158025142624074,0.1485245235491769,0.18445642487835723,0.22499999999999998
T2,met_8,2000.0,0.14762423899491983,0.04661937703963375,0.04,0.11554436468867085,0.14885084095211976,0.18152297348208835,0.22499999999999998
T2,met_9,2000.0,0.20024792779506367,0.029724447902116733,0.10417101939644746,0.1800867049197176,0.2009261640768631,0.22085920331229675,0.27999999999999997
T2p,met_1,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_10,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_2,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_3,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_4,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_5,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_6,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_7,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_8,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
T2p,met_9,2000.0,0.026121909775722856,0.006424044826591594,0.005,0.02156867496895461,0.026241390452473336,0.03053752207900102,0.04678438789884365
concentration,met_1,2000.0,1.1915342105993032,0.49318443400576095,0.0,0.8584538460301018,1.186539728443397,1.5172394160241374,2.8944824840190138
concentration,met_10,2000.0,8.01659217108142,4.898326543220347,0.0,4.471080200602416,7.812167892350697,11.330222440261522,25.656810631796965
concentration,met_2,2000.0,7.865569956316678,2.998221949436598,0.0,5.809622700767443,7.914796710476956,9.906683983784003,18.60372776811895
concentration,met_3,2000.0,2.0314054705009643,0.9768362559077827,0.0,1.3280845124921028,2.0424205691054347,2.70346045837335,5.016380007535599
concentration,met_4,2000.0,12.333338751368807,3.9959679284924188,0.0,9.644969063788025,12.298273337140458,15.097498011007456,27.044130900997523
concentration,met_5,2000.0,3.808692528859151,1.9472658667711797,0.0,2.4884736636586355,3.7893065446539196,5.18396369457952,11.598642986221792
concentration,met_6,2000.0,3.8378203940744986,1.899086188779951,0.0,2.5485349239750485,3.8268296824622485,5.149693631805186,10.422066882826908
concentration,met_7,2000.0,2.4632569020196433,1.2220355227145188,0.0,1.5786143726500275,2.4474694380901343,3.280796594718293,6.548341893127756
concentration,met_8,2000.0,4.380542189780143,1.4540628568027252,0.0,3.422807013016416,4.3962871005983715,5.337549611959638,9.587916970214085
concentration,met_9,2000.0,8.217621749075223,2.0072578514068224,0.32035112950687594,6.918595616774667,8.186652710653805,9.573795881799214,14.754028211472377
freq_shift,met_1,2000.0,-0.012317387084006069,0.5094905937937408,-1.9243899841594518,-0.3556779690983322,-0.023401790138290076,0.3299471169698078,1.664204530174279
freq_shift,met_10,2000.0,0.017230064528773934,0.5129837816798635,-1.8537396091707896,-0.3346469550284154,0.006237821529557136,0.35404789277408494,2.1003012853502
freq_shift,met_2,2000.0,0.011051242255590872,0.49888835640536416,-1.8172002544359545,-0.315068259934698,0.008806831020091728,0.33559406951078,1.5957121451444636
freq_shift,met_3,2000.0,0.004749816142062101,0.48351883854506844,-1.5617545556070824,-0.3395247919839276,0.008749793419908228,0.33527436576430447,1.732112272816708
freq_shift,met_4,2000.0,0.004324359145701676,0.4982669032220662,-1.8509513856260116,-0.3177047019382481,0.015242831041401622,0.34462923394589473,1.5678926673438374
freq_shift,met_5,2000.0,-0.00011043176345992123,0.4998637645981984,-1.7587434971669986,-0.33599247080048783,-0.00042955207383044874,0.3344552327799477,1.852214485210743
freq_shift,met_6,2000.0,0.008343582704003713,0.5086020544452422,-1.8301741133276743,-0.32896278269703194,-0.0017085218974157974,0.3467604936553509,1.703316953699995
freq_shift,met_7,2000.0,-0.0002755820289135009,0.5137606349207794,-2.1750519075557015,-0.33877678576641557,0.008614989378610709,0.36064577755827376,1.5432139066756523
freq_shift,met_8,2000.0,-0.0037371933750164725,0.5016886921070515,-1.938331087662901,-0.3311863997061379,-0.01642639819349548,0.3255756300369482,1.5520356775593325
freq_shift,met_9,2000.0,-0.03111145118548953,0.5037148031656228,-1.5950897970224354,-0.37083857139215576,-0.03225870367569937,0.3091063338035492,1.6805911688377633
linewidth,met_1,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_10,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_2,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_3,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_4,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_5,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_6,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_7,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_8,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
linewidth,met_9,2000.0,3.3191124342455,4.661070071208937,1.0567464522492124e-07,0.2701211984483549,1.4318241556472082,4.481383454044339,40.14603699301366
phase,met_1,2000.0,-1.3446666652938355,0.4125868176797416,-2.6571746328173753,-1.6183242046754596,-1.3418115864189186,-1.0666082398237018,-0.07013401429997804
phase,met_10,2000.0,-1.3430927146116574,0.4112731869555969,-2.7155447521442815,-1.6260350992122563,-1.3468345449398123,-1.0561394984282408,-0.047378343715768684
phase,met_2,2000.0,-1.344141045242042,0.4112513272961014,-2.56969085524412,-1.6142877897840107,-1.3411342370602437,-1.0704579095540248,-0.05911367278043758
phase,met_3,2000.0,-1.3462950333970523,0.41337612684082564,-2.75597874633278,-1.620400921885042,-1.3474013584438398,-1.0666780313605688,-0.06923354018022923
phase,met_4,2000.0,-1.3437913155276615,0.4109636162533438,-2.671650943047863,-1.608632817134221,-1.342652405046782,-1.0662253310633043,-0.10168862455050476
phase,met_5,2000.0,-1.3466919784872085,0.41030838081678983,-2.6099381592311204,-1.6256443455620735,-1.344894172753174,-1.071327224378535,-0.0578833197596291
phase,met_6,2000.0,-1.3454251227523797,0.4117226883072079,-2.6823003996201833,-1.617798105682094,-1.3416104823259118,-1.0705690794323695,-0.11546072688629297
phase,met_7,2000.0,-1.3480803180793441,0.4122283084159127,-2.5785468382573873,-1.6213583245034924,-1.3458243068349667,-1.069028089993973,-0.12018364382506885
phase,met_8,2000.0,-1.3440621386168914,0.411688738333149,-2.5748328767662714,-1.6214223063295639,-1.339620099332238,-1.0783232521133603,-0.05030713473914519
phase,met_9,2000.0,-1.3453024121732553,0.41110692881860994,-2.6192506485268017,-1.6129674272500027,-1.3467775168256364,-1.0613853680864653,-0.10586704761820989
